Connecticut December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193309,7.05,3.06
193310,2.69,-0.98
193311,1.36,-2.76
193312,3.49,-0.51
193401,3.84,0.11
193402,3.52,0.24
193403,3.47,-0.72
193404,5.43,1.30
193405,5.51,1.58
193406,4.13,0.43
193407,2.77,-1.14
193408,3.49,-0.74
193409,10.14,6.15
193410,2.99,-0.68
193411,3.80,-0.32
193412,4.02,0.02
193501,5.15,1.42
193502,3.15,-0.13
193503,2.39,-1.80
193504,2.60,-1.53
193505,1.87,-2.06
193506,5.18,1.48
193507,4.24,0.33
193508,1.36,-2.87
193509,4.22,0.23
193510,0.84,-2.83
193511,4.32,0.20
193512,1.13,-2.87
193601,7.01,3.28
193602,2.75,-0.53
193603,8.27,4.08
193604,3.99,-0.14
193605,2.86,-1.07
193606,4.41,0.71
193607,2.43,-1.48
193608,4.54,0.31
193609,4.29,0.30
193610,4.39,0.72
193611,1.44,-2.68
193612,7.43,3.43
193701,5.76,2.03
193702,2.73,-0.55
193703,3.77,-0.42
193704,4.62,0.49
193705,3.98,0.05
193706,5.12,1.42
193707,3.71,-0.20
193708,6.77,2.54
193709,4.15,0.16
193710,5.33,1.66
193711,6.50,2.38
193712,2.40,-1.60
193801,5.21,1.48
193802,2.43,-0.85
193803,2.14,-2.05
193804,3.15,-0.98
193805,4.03,0.10
193806,6.83,3.13
193807,9.86,5.95
193808,4.01,-0.22
193809,12.96,8.97
193810,2.25,-1.42
193811,3.59,-0.53
193812,3.72,-0.28
193901,3.34,-0.39
193902,4.77,1.49
193903,4.90,0.71
193904,4.96,0.83
193905,1.31,-2.62
193906,3.34,-0.36
193907,1.74,-2.17
193908,6.21,1.98
193909,2.75,-1.24
193910,5.17,1.50
193911,1.65,-2.47
193912,3.32,-0.68
194001,3.05,-0.68
194002,2.90,-0.38
194003,5.62,1.43
194004,5.91,1.78
194005,6.33,2.40
194006,3.91,0.21
194007,3.55,-0.36
194008,2.37,-1.86
194009,3.14,-0.85
194010,2.25,-1.42
194011,6.03,1.91
194012,2.70,-1.30
194101,2.56,-1.17
194102,2.61,-0.67
194103,2.37,-1.82
194104,1.24,-2.89
194105,3.16,-0.77
194106,4.69,0.99
194107,5.64,1.73
194108,3.44,-0.79
194109,0.90,-3.09
194110,2.33,-1.34
194111,3.47,-0.65
194112,4.04,0.04
194201,3.73,0.00
194202,2.86,-0.42
194203,7.28,3.09
194204,0.89,-3.24
194205,3.71,-0.22
194206,3.93,0.23
194207,5.60,1.69
194208,5.01,0.78
194209,2.90,-1.09
194210,3.64,-0.03
194211,6.19,2.07
194212,6.27,2.27
194301,3.26,-0.47
194302,1.87,-1.41
194303,3.78,-0.41
194304,3.58,-0.55
194305,4.99,1.06
194306,3.16,-0.54
194307,3.60,-0.31
194308,1.83,-2.40
194309,1.38,-2.61
194310,5.45,1.78
194311,4.94,0.82
194312,1.15,-2.85
194401,2.05,-1.68
194402,2.28,-1.00
194403,5.25,1.06
194404,4.43,0.30
